List of 165 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
 128           7      0.00086
 128           8      0.00037
 128           9      0.00027
 128          10      0.00026
 129           1      0.00000
 129           2      0.00000
 129           3      0.00000
 129           4      0.00000
 129           5      0.00000
 129           6      0.00000
 129           7      0.00000
 129           8      0.00000
 129           9      0.00000
 129          10      0.00000
 130           1      0.00209
 130           2      0.00160
 130           3      0.00147
 130           4      0.00122
 130           5      0.00114
 130           6      0.00091
 130           7      0.00070
 130           8      0.00063
 130           9      0.00058
 130          10      0.00052
 131           1      0.00550
 131           2      0.00420
 131           3      0.00385
 131           4      0.00320
 131           5      0.00300
 131           6      0.00238
 131           7      0.00184
 131           8      0.00166
 131           9      0.00151
 131          10      0.00137
 132           1      0.00000
 132           2      0.00000
 132           3      0.00000
 132           4      0.00000
 132           5      0.00000
 132           6      0.00000
 132           7      0.00000
 132           8      0.00000
 132           9      0.00000
 132          10      0.00000
 133           1      0.22333
 133           2      0.14060
 133           3      0.07804
 133           4      0.04820
 133           5      0.03092
 133           6      0.01872
 133           7      0.01116
 133           8      0.00771
 133           9      0.00475
 133          10      0.00302
 134           1      0.58718
 134           2      0.36968
 134           3      0.20517
 134           4      0.12673
 134           5      0.08129
 134           6      0.04921
 134           7      0.02935
 134           8      0.02026
 134           9      0.01248
 134          10      0.00794
 135           1      0.00008
 135           2      0.00005
 135           3      0.00003
 135           4      0.00002
 135           5      0.00001
 135           6      0.00001
 135           7      0.00000
 135           8      0.00000
 135           9      0.00000
 135          10      0.00000
 136           1      0.00153
 136           2      0.00111
 136           3      0.00081
 136           4      0.00061
 136           5      0.00046
 136           6      0.00038
 136           7      0.00023
 136           8      0.00015
 136           9      0.00007
 136          10      0.00005
 137           1      0.00402
 137           2      0.00292
 137           3      0.00214
 137           4      0.00160
 137           5      0.00122
 137           6      0.00100
 137           7      0.00060
 137           8      0.00039
 137           9      0.00018
 137          10      0.00013
 138           1      0.00000
 138           2      0.00000
 138           3      0.00000
 138           4      0.00000
 138           5      0.00000
 138           6      0.00000
 138           7      0.00000
 138           8      0.00000
 138           9      0.00000
 138          10      0.00000
 139           1      0.00205
 139           2      0.00150
 139           3      0.00122
 139           4      0.00093
 139           5      0.00067
 139           6      0.00054
 139           7      0.00028
 139           8      0.00040
 139           9      0.00024
 139          10      0.00011
 140           1      0.00540
 140           2      0.00394
 140           3      0.00320
 140           4      0.00245
 140           5      0.00176
 140           6      0.00142
 140           7      0.00073
 140           8      0.00104
 140           9      0.00063
 140          10      0.00029
 141           1      0.00000
 141           2      0.00000
 141           3      0.00000
 141           4      0.00000
 141           5      0.00000
 141           6      0.00000
 141           7      0.00000
 141           8      0.00000
 141           9      0.00000
 141          10      0.00000
 142           1      0.00511
 142           2      0.00369
 142           3      0.00259
 142           4      0.00156
 142           5      0.00126
 142           6      0.00084
 142           7      0.00063
 142           8      0.00050
 142           9      0.00033
 142          10      0.00026
 143           1      0.01342
 143           2      0.00969
 143           3      0.00681
 143           4      0.00411
 143           5      0.00330
 143           6      0.00220
 143           7      0.00164
 143           8      0.00131
 143           9      0.00086
 143          10      0.00067
 144           1      0.00000
 144           2      0.00000
 144           3      0.00000
 144           4      0.00000
 144           5      0.00000
 144           6      0.00000
 144           7      0.00000
 144           8      0.00000
 144           9      0.00000
 144          10      0.00000
 145           1      0.01482
 145           2      0.03982
 145           3      0.03148
 145           4      0.02260
 145           5      0.01522
 145           6      0.00907
 145           7      0.00672
 145           8      0.00388
 145           9      0.00269
 145          10      0.00177
 146           1      0.03896
 146           2      0.10471
 146           3      0.08277
 146           4      0.05941
 146           5      0.04001
 146           6      0.02386
 146           7      0.01766
 146           8      0.01021
 146           9      0.00707
 146          10      0.00464
 147           1      0.00001
 147           2      0.00001
 147           3      0.00001
 147           4      0.00001
 147           5      0.00001
 147           6      0.00000
 147           7      0.00000
 147           8      0.00000
 147           9      0.00000
 147          10      0.00000
 148           1      0.00288
 148           2      0.00239
 148           3      0.00202
 148           4      0.00171
 148           5      0.00147
 148           6      0.00129
 148           7      0.00100
 148           8      0.00114
 148           9      0.00081
 148          10      0.00062
 149           1      0.00758
 149           2      0.00628
 149           3      0.00532
 149           4      0.00448
 149           5      0.00387
 149           6      0.00340
 149           7      0.00263
 149           8      0.00301
 149           9      0.00212
 149          10      0.00163
 150           1      0.00000
 150           2      0.00000
 150           3      0.00000
 150           4      0.00000
 150           5      0.00000
 150           6      0.00000
 150           7      0.00000
 150           8      0.00000
 150           9      0.00000
 150          10      0.00000
 151           1      0.00262
 151           2      0.00244
 151           3      0.00200
 151           4      0.00194
 151           5      0.00165
 151           6      0.00160
 151           7      0.00144
 151           8      0.00120
 151           9      0.00104
 151          10      0.00095
 152           1      0.00688
 152           2      0.00641
 152           3      0.00525
 152           4      0.00511
 152           5      0.00433
 152           6      0.00420
 152           7      0.00378
 152           8      0.00314
 152           9      0.00272
 152          10      0.00249
 153           1      0.00000
 153           2      0.00000
 153           3      0.00000
 153           4      0.00000
 153           5      0.00000
 153           6      0.00000
 153           7      0.00000
 153           8      0.00000
 153           9      0.00000
 153          10      0.00000
 154           1      0.05170
 154           2      0.03276
 154           3      0.01873
 154           4      0.01010
 154           5      0.00628
 154           6      0.00329
 154           7      0.00193
 154           8      0.00136
 154           9      0.00065
 154          10      0.00043
 155           1      0.13594
 155           2      0.08612
 155           3      0.04924
 155           4      0.02656
 155           5      0.01651
 155           6      0.00866
 155           7      0.00509
 155           8      0.00357
 155           9      0.00170
 155          10      0.00112
 156           1      0.00002
 156           2      0.00001
 156           3      0.00001
 156           4      0.00000
 156           5      0.00000
 156           6      0.00000
 156           7      0.00000
 156           8      0.00000
 156           9      0.00000
 156          10      0.00000
 157           1      0.00120
 157           2      0.00079
 157           3      0.00063
 157           4      0.00044
 157           5      0.00028
 157           6      0.00020
 157           7      0.00016
 157           8      0.00009
 157           9      0.00014
 157          10      0.00009
 158           1      0.00316
 158           2      0.00208
 158           3      0.00166
 158           4      0.00117
 158           5      0.00072
 158           6      0.00052
 158           7      0.00042
 158           8      0.00025
 158           9      0.00036
 158          10      0.00023
 159           1      0.00000
 159           2      0.00000
 159           3      0.00000
 159           4      0.00000
 159           5      0.00000
 159           6      0.00000
 159           7      0.00000
 159           8      0.00000
 159           9      0.00000
 159          10      0.00000
 160           1      0.00290
 160           2      0.00221
 160           3      0.00169
 160           4      0.00136
 160           5      0.00105
 160           6      0.00073
 160           7      0.00060
 160           8      0.00046
 160           9      0.00036
 160          10      0.00042
 161           1      0.00762
 161           2      0.00582
 161           3      0.00443
 161           4      0.00357
 161           5      0.00275
 161           6      0.00191
 161           7      0.00157
 161           8      0.00121
 161           9      0.00094
 161          10      0.00111
 162           1      0.00000
 162           2      0.00000
 162           3      0.00000
 162           4      0.00000
 162           5      0.00000
 162           6      0.00000
 162           7      0.00000
 162           8      0.00000
 162           9      0.00000
 162          10      0.00000
 163           1      0.02033
 163           2      0.01330
 163           3      0.00870
 163           4      0.00562
 163           5      0.00358
 163           6      0.00236
 163           7      0.00152
 163           8      0.00080
 163           9      0.00050
 163          10      0.00030
 164           1      0.05344
 164           2      0.03498
 164           3      0.02288
 164           4      0.01478
 164           5      0.00942
 164           6      0.00621
 164           7      0.00400
 164           8      0.00211
 164           9      0.00130
 164          10      0.00079
 165           1      0.00001
 165           2      0.00000
 165           3      0.00000
 165           4      0.00000
 165           5      0.00000
 165           6      0.00000
 165           7      0.00000
 165           8      0.00000
 165           9      0.00000
 165          10      0.00000
